epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14099,1.20085,2.44115,3.06703,1.33899,0,0.00333,1,0.14045,0.08572,0.00333,1,0.1394,0.09403,0.96871,2.65231,3.34315,1.12015,0,0.00032,0.00032,0.00032
2,6.51925,1.1745,2.03606,2.37451,1.27042,0,0.00333,1,0.21294,0.13053,0.00286,0.85714,0.21126,0.1469,1.90085,3.36766,3.68192,1.61974,0,0.000643246,0.000643246,0.000643246
3,8.85925,1.11506,1.81378,2.16951,1.22298,0,0.60173,0.23006,0.26213,0.1751,1,0.27141,0.30654,0.19448,1.76093,3.00661,3.45734,1.61735,0,0.000949231,0.000949231,0.000949231
4,11.2422,1.22523,1.93572,2.25159,1.29087,0,0.92897,0.14286,0.16043,0.11016,0.92897,0.14286,0.15488,0.10805,1.78066,4.40309,4.17124,1.58893,0,0.00123795,0.00123795,0.00123795
5,13.5091,1.37526,1.9716,2.29173,1.42595,0,0.01585,0.42857,0.18742,0.04954,0.01585,0.42857,0.19081,0.09908,2.04132,5.31459,3.55503,1.82572,0,0.00150942,0.00150942,0.00150942
6,15.8091,1.08115,1.61045,2.60422,1.14536,0,0.78763,0.14286,0.16298,0.05218,0.78763,0.14286,0.15807,0.08097,1.96805,9.70129,3.18431,1.69811,0,0.00174615,0.00174615,0.00174615
7,18.1983,1.20497,2.09066,2.19033,1.31337,0,0.64058,0.28571,0.26325,0.14072,0.68512,0.14286,0.1698,0.1354,1.59295,9.02631,3.45943,1.54075,0,0.00169538,0.00169538,0.00169538
8,20.7024,1.23995,1.95423,2.11935,1.24426,0,0.15118,0.42857,0.13397,0.09141,0.15118,0.42857,0.21678,0.08245,1.45589,5.03112,6.18607,1.3354,0,0.00164462,0.00164462,0.00164462
9,23.1654,1.21417,1.79429,1.91841,1.2317,0,0.46269,0.28571,0.2551,0.13607,0.46269,0.28571,0.25451,0.1536,1.45614,5.3822,3.84602,1.3679,0,0.00159385,0.00159385,0.00159385
10,25.7514,1.10492,1.5892,1.63455,1.16423,0,0.3585,0.42857,0.29055,0.22655,0.3585,0.42857,0.28885,0.1907,1.08884,4.00175,3.19919,1.22905,0,0.00154308,0.00154308,0.00154308
11,28.3804,1.08278,1.69652,1.78117,1.17979,0,0.47098,0.57143,0.44418,0.34811,0.47098,0.57143,0.44413,0.33698,1.26525,3.62523,3.29075,1.39237,0,0.00149231,0.00149231,0.00149231
12,30.7648,1.14954,1.72611,1.70296,1.19524,0,0.37539,0.57143,0.45564,0.2812,0.37539,0.57143,0.45534,0.32015,1.34037,3.56764,2.7075,1.37818,0,0.00144154,0.00144154,0.00144154
